α_weak	α_strong	α	gam_neg	shape	analysis	method
0.0271639	0.00961234	0.0484954	629.914	0.157113	bt_moderate_0.4	abc_mk
0.0471293	0.0115593	0.0669482	445.784	0.151309	bt_moderate_0.4	abc_mk
0.0196938	0.00899551	0.0452703	401.964	0.151657	bt_moderate_0.4	abc_mk
0.0291137	0.0100873	0.050817	643.71	0.158808	bt_moderate_0.4	abc_mk
0.0317508	0.0108828	0.0566152	641.597	0.155343	bt_moderate_0.4	abc_mk
0.0303303	0.0113445	0.0560803	421.168	0.154877	bt_moderate_0.4	abc_mk
0.0275553	0.0089371	0.0461793	431.793	0.156922	bt_moderate_0.4	abc_mk
0.049785	0.0128332	0.0710808	619.294	0.154833	bt_moderate_0.4	abc_mk
0.0543334	0.00842253	0.0738236	609.175	0.173938	bt_moderate_0.4	abc_mk
0.015586	0.0987618	0.118495	616.098	0.136607	bt_moderate_0.999	abc_mk
0.0181336	0.0902444	0.117554	571.439	0.134416	bt_moderate_0.999	abc_mk
0.0181322	0.076178	0.1074	598.338	0.128433	bt_moderate_0.999	abc_mk
0.0168012	0.111288	0.128907	621.432	0.137445	bt_moderate_0.999	abc_mk
0.0145288	0.0950379	0.113793	586.815	0.139796	bt_moderate_0.999	abc_mk
0.0182293	0.0908382	0.108549	586.548	0.13103	bt_moderate_0.999	abc_mk
0.0135001	0.12904	0.144368	591.125	0.136582	bt_moderate_0.999	abc_mk
0.0136588	0.111118	0.130848	344.013	0.136248	bt_moderate_0.999	abc_mk
0.0149479	0.102753	0.125407	578.348	0.135034	bt_moderate_0.999	abc_mk
0.0141171	0.0812017	0.104568	599.969	0.127486	bt_moderate_0.999	abc_mk
0.0131971	0.106528	0.129678	602.825	0.145772	bt_moderate_0.999	abc_mk
0.0161563	0.103209	0.1205	595.547	0.142946	bt_moderate_0.999	abc_mk
0.0140524	0.114274	0.128602	594.642	0.144147	bt_moderate_0.999	abc_mk
0.0163306	0.118722	0.143135	607.878	0.139303	bt_moderate_0.999	abc_mk
0.0154764	0.0976974	0.123519	582.916	0.137536	bt_moderate_0.999	abc_mk
0.0176613	0.109697	0.133843	419.754	0.139721	bt_moderate_0.999	abc_mk
0.0136448	0.110285	0.125117	606.086	0.141398	bt_moderate_0.999	abc_mk
0.0139309	0.102028	0.12004	559.45	0.143138	bt_moderate_0.999	abc_mk
0.0166928	0.103037	0.12331	586.203	0.135057	bt_moderate_0.999	abc_mk
0.0165498	0.0978711	0.119112	359.307	0.13873	bt_moderate_0.999	abc_mk
0.018042	0.104931	0.13456	368.136	0.144162	bt_moderate_0.999	abc_mk
0.0160034	0.0892097	0.111071	589.116	0.133104	bt_moderate_0.999	abc_mk
0.0115444	0.0911398	0.112363	474.889	0.142341	bt_moderate_0.999	abc_mk
0.0168638	0.0879119	0.112654	389.077	0.13282	bt_moderate_0.999	abc_mk
0.0122615	0.100633	0.116456	485.97	0.143442	bt_moderate_0.999	abc_mk
0.0153387	0.0780663	0.0948121	581.168	0.132177	bt_moderate_0.999	abc_mk
0.0123286	0.0921958	0.109973	499.668	0.140953	bt_moderate_0.999	abc_mk
0.0152259	0.105091	0.128835	595.304	0.132573	bt_moderate_0.999	abc_mk
0.0171646	0.0898191	0.114251	612.798	0.138122	bt_moderate_0.999	abc_mk
0.0147138	0.108818	0.125129	593.942	0.141633	bt_moderate_0.999	abc_mk
0.0140012	0.109301	0.125397	599.916	0.137372	bt_moderate_0.999	abc_mk
0.0132225	0.0967651	0.11101	454.321	0.136022	bt_moderate_0.999	abc_mk
0.0109924	0.112214	0.123823	576.86	0.134045	bt_moderate_0.999	abc_mk
0.00968347	0.117874	0.12644	569.211	0.144683	bt_moderate_0.999	abc_mk
0.0227985	0.0802994	0.11708	608.49	0.129232	bt_moderate_0.999	abc_mk
0.0123676	0.0808587	0.0999231	544.165	0.134374	bt_moderate_0.999	abc_mk
0.0132391	0.110555	0.119285	604.277	0.139765	bt_moderate_0.999	abc_mk
0.0115664	0.106017	0.127969	553.613	0.146675	bt_moderate_0.999	abc_mk
0.0141318	0.120384	0.14473	572.526	0.144828	bt_moderate_0.999	abc_mk
0.0169057	0.103576	0.126747	616.452	0.14126	bt_moderate_0.999	abc_mk
0.0204142	0.0868265	0.118469	361.873	0.128399	bt_moderate_0.999	abc_mk
0.0115325	0.103042	0.114794	479.934	0.126959	bt_moderate_0.999	abc_mk
0.0185	0.0845737	0.109747	600.998	0.132686	bt_moderate_0.999	abc_mk
0.0253281	0.0750202	0.109031	602.591	0.132113	bt_moderate_0.999	abc_mk
0.0165894	0.0914043	0.122723	599.678	0.137416	bt_moderate_0.999	abc_mk
0.0206018	0.0835557	0.116611	588.723	0.137467	bt_moderate_0.999	abc_mk
