f	alphas	sfs	path
63	0.13091595589893357	pos	noDemog_0.4_0.2_0.4
64	0.12853072280754652	pos	noDemog_0.4_0.2_0.4
65	0.13287462394637217	pos	noDemog_0.4_0.2_0.4
66	0.12664505094606238	pos	noDemog_0.4_0.2_0.4
67	0.1266210870564196	pos	noDemog_0.4_0.2_0.4
68	0.1290981370636708	pos	noDemog_0.4_0.2_0.4
69	0.12405333388274253	pos	noDemog_0.4_0.2_0.4
70	0.1257821098138584	pos	noDemog_0.4_0.2_0.4
71	0.12489215789420283	pos	noDemog_0.4_0.2_0.4
72	0.13035701695011725	pos	noDemog_0.4_0.2_0.4
73	0.13490820874947096	pos	noDemog_0.4_0.2_0.4
74	0.13623320614716306	pos	noDemog_0.4_0.2_0.4
75	0.13612931464266065	pos	noDemog_0.4_0.2_0.4
76	0.13451599127487612	pos	noDemog_0.4_0.2_0.4
77	0.145615446239295	pos	noDemog_0.4_0.2_0.4
78	0.14075531355625726	pos	noDemog_0.4_0.2_0.4
79	0.14550746714877238	pos	noDemog_0.4_0.2_0.4
80	0.14379374287325597	pos	noDemog_0.4_0.2_0.4
81	0.14424627854992356	pos	noDemog_0.4_0.2_0.4
82	0.15651926092835333	pos	noDemog_0.4_0.2_0.4
83	0.16596236994465896	pos	noDemog_0.4_0.2_0.4
84	0.1668636186197786	pos	noDemog_0.4_0.2_0.4
85	0.16530113289908288	pos	noDemog_0.4_0.2_0.4
86	0.15790258196227502	pos	noDemog_0.4_0.2_0.4
87	0.1515449013176754	pos	noDemog_0.4_0.2_0.4
88	0.1473356198124951	pos	noDemog_0.4_0.2_0.4
89	0.15311384232293335	pos	noDemog_0.4_0.2_0.4
90	0.14161812685589492	pos	noDemog_0.4_0.2_0.4
91	0.15099700016143758	pos	noDemog_0.4_0.2_0.4
92	0.14602668527761975	pos	noDemog_0.4_0.2_0.4
93	0.15176829022719862	pos	noDemog_0.4_0.2_0.4
94	0.11567434877160154	pos	noDemog_0.4_0.2_0.4
95	0.12241707239986266	pos	noDemog_0.4_0.2_0.4
96	0.08909462191358697	pos	noDemog_0.4_0.2_0.4
97	0.09728931991720513	pos	noDemog_0.4_0.2_0.4
98	0.1217014868221784	pos	noDemog_0.4_0.2_0.4
99	0.06931233339958898	pos	noDemog_0.4_0.2_0.4
100	-0.000831406178750882	pos	noDemog_0.4_0.2_0.4
1	-0.5522260568562991	nopos	noDemog_0.4_0.3_0.4
2	-0.10456543536657192	nopos	noDemog_0.4_0.3_0.4
3	-0.03641214715650509	nopos	noDemog_0.4_0.3_0.4
4	0.0020543584253633895	nopos	noDemog_0.4_0.3_0.4
5	0.025602092583247416	nopos	noDemog_0.4_0.3_0.4
6	0.04332554614446393	nopos	noDemog_0.4_0.3_0.4
7	0.05762091501738875	nopos	noDemog_0.4_0.3_0.4
8	0.07063658190360356	nopos	noDemog_0.4_0.3_0.4
9	0.07936578649788595	nopos	noDemog_0.4_0.3_0.4
10	0.08842334266258722	nopos	noDemog_0.4_0.3_0.4
11	0.09485279076939057	nopos	noDemog_0.4_0.3_0.4
12	0.09988843232112032	nopos	noDemog_0.4_0.3_0.4
13	0.1075624162602602	nopos	noDemog_0.4_0.3_0.4
14	0.11487083467299042	nopos	noDemog_0.4_0.3_0.4
