α_weak,α_strong,α,gam_neg,shape,analysis,method
0.21302,0.102981,0.289044,1509.59,0.163324,isolation_0.4_0.1_0.4,abc_mk
0.11624,0.128846,0.226795,1504.91,0.145756,isolation_0.4_0.1_0.4,abc_mk
0.167106,0.11465,0.257068,1473.36,0.153325,isolation_0.4_0.1_0.4,abc_mk
0.203587,0.102228,0.293267,1487.55,0.164369,isolation_0.4_0.1_0.4,abc_mk
0.162293,0.112813,0.257261,1549.49,0.153221,isolation_0.4_0.1_0.4,abc_mk
0.191482,0.114272,0.285974,1575.14,0.163958,isolation_0.4_0.1_0.4,abc_mk
0.188164,0.111129,0.279432,1556.38,0.164707,isolation_0.4_0.1_0.4,abc_mk
0.150697,0.115621,0.249329,1570.01,0.150661,isolation_0.4_0.1_0.4,abc_mk
0.192428,0.100736,0.284211,1493.7,0.162101,isolation_0.4_0.1_0.4,abc_mk
0.162782,0.117809,0.269613,1441.85,0.158551,isolation_0.4_0.1_0.4,abc_mk
0.186465,0.10313,0.27912,1464.06,0.159311,isolation_0.4_0.1_0.4,abc_mk
0.244566,0.100663,0.323286,1465.32,0.171267,isolation_0.4_0.1_0.4,abc_mk
0.244978,0.108124,0.326353,1458.43,0.173907,isolation_0.4_0.1_0.4,abc_mk
0.292683,0.106911,0.389796,789.082,0.192318,isolation_0.4_0.1_0.4,abc_mk
0.191859,0.10426,0.268624,1501.91,0.154571,isolation_0.4_0.1_0.4,abc_mk
0.171816,0.106402,0.257483,1409.85,0.153906,isolation_0.4_0.1_0.4,abc_mk
0.205928,0.105031,0.293479,1456.62,0.163649,isolation_0.4_0.1_0.4,abc_mk
0.230844,0.0943518,0.315371,1483.04,0.168728,isolation_0.4_0.1_0.4,abc_mk
0.15207,0.116527,0.255505,1435.49,0.156007,isolation_0.4_0.1_0.4,abc_mk
0.161572,0.115168,0.26337,1472.68,0.152831,isolation_0.4_0.1_0.4,abc_mk
0.212952,0.101407,0.304578,1515.44,0.167833,isolation_0.4_0.1_0.4,abc_mk
0.169518,0.112603,0.266175,1504.76,0.159142,isolation_0.4_0.1_0.4,abc_mk
0.206116,0.0984349,0.292729,1505.54,0.164578,isolation_0.4_0.1_0.4,abc_mk
0.110086,0.128729,0.22097,1451.02,0.143094,isolation_0.4_0.1_0.4,abc_mk
0.193973,0.113607,0.287636,1408.0,0.163779,isolation_0.4_0.1_0.4,abc_mk
0.264344,0.108119,0.339468,1479.52,0.178411,isolation_0.4_0.1_0.4,abc_mk
0.231808,0.104704,0.315953,1402.89,0.171997,isolation_0.4_0.1_0.4,abc_mk
0.22476,0.109068,0.319392,1470.15,0.172995,isolation_0.4_0.1_0.4,abc_mk
0.193885,0.0985072,0.274034,1551.08,0.157213,isolation_0.4_0.1_0.4,abc_mk
0.1836,0.107195,0.274877,1470.87,0.161096,isolation_0.4_0.1_0.4,abc_mk
0.147413,0.125106,0.26532,1445.7,0.156661,isolation_0.4_0.1_0.4,abc_mk
0.143212,0.129863,0.257479,1548.8,0.158313,isolation_0.4_0.1_0.4,abc_mk
0.194716,0.105132,0.286368,747.765,0.161619,isolation_0.4_0.1_0.4,abc_mk
0.223133,0.103888,0.315223,1515.64,0.1692,isolation_0.4_0.1_0.4,abc_mk
0.149589,0.122619,0.259371,1458.21,0.15435,isolation_0.4_0.1_0.4,abc_mk
0.228689,0.0978538,0.310852,1525.55,0.166618,isolation_0.4_0.1_0.4,abc_mk
0.173889,0.107461,0.261989,1439.48,0.156596,isolation_0.4_0.1_0.4,abc_mk
0.206854,0.110747,0.298412,1488.25,0.168042,isolation_0.4_0.1_0.4,abc_mk
0.16245,0.107279,0.25378,1575.06,0.15195,isolation_0.4_0.1_0.4,abc_mk
0.181492,0.124778,0.290407,1476.96,0.167349,isolation_0.4_0.1_0.4,abc_mk
0.195481,0.0956591,0.276752,1481.15,0.160121,isolation_0.4_0.1_0.4,abc_mk
0.192055,0.105303,0.278232,1521.74,0.15802,isolation_0.4_0.1_0.4,abc_mk
0.207217,0.106276,0.299079,1454.04,0.164272,isolation_0.4_0.1_0.4,abc_mk
0.234742,0.107628,0.306872,1480.38,0.166202,isolation_0.4_0.1_0.4,abc_mk
0.163841,0.115229,0.260614,1424.69,0.157736,isolation_0.4_0.1_0.4,abc_mk
0.144707,0.115747,0.249256,1481.98,0.151823,isolation_0.4_0.1_0.4,abc_mk
0.209714,0.102347,0.287041,1463.81,0.161635,isolation_0.4_0.1_0.4,abc_mk
0.183188,0.101163,0.271406,1629.26,0.158275,isolation_0.4_0.1_0.4,abc_mk
0.197008,0.108282,0.29005,1475.09,0.164418,isolation_0.4_0.1_0.4,abc_mk
0.169208,0.109456,0.265405,1507.8,0.155841,isolation_0.4_0.1_0.4,abc_mk
0.250872,0.110795,0.339779,1450.01,0.181798,isolation_0.4_0.1_0.4,abc_mk
0.137826,0.111538,0.236825,1478.22,0.149594,isolation_0.4_0.1_0.4,abc_mk
0.160481,0.12433,0.27132,1538.58,0.162628,isolation_0.4_0.1_0.4,abc_mk
0.140903,0.117519,0.252328,1446.97,0.154156,isolation_0.4_0.1_0.4,abc_mk
0.250719,0.0986867,0.337608,728.042,0.174225,isolation_0.4_0.1_0.4,abc_mk
0.187791,0.104549,0.270689,1475.14,0.157531,isolation_0.4_0.1_0.4,abc_mk
0.210998,0.102244,0.282104,1505.38,0.160429,isolation_0.4_0.1_0.4,abc_mk
0.193861,0.108472,0.280846,1501.16,0.161523,isolation_0.4_0.1_0.4,abc_mk
0.147956,0.11656,0.241873,1544.64,0.15058,isolation_0.4_0.1_0.4,abc_mk
0.200899,0.0984606,0.279837,1510.92,0.160468,isolation_0.4_0.1_0.4,abc_mk
0.214045,0.0943786,0.298181,1447.15,0.165556,isolation_0.4_0.1_0.4,abc_mk
0.199624,0.101395,0.293167,1469.64,0.165437,isolation_0.4_0.1_0.4,abc_mk
0.171645,0.103511,0.265584,1441.85,0.15651,isolation_0.4_0.1_0.4,abc_mk
0.221012,0.100318,0.303794,1587.19,0.16654,isolation_0.4_0.1_0.4,abc_mk
0.204769,0.101079,0.290262,1504.65,0.164772,isolation_0.4_0.1_0.4,abc_mk
0.241303,0.0994831,0.314726,1511.9,0.170603,isolation_0.4_0.1_0.4,abc_mk
0.16821,0.120614,0.269728,1446.91,0.160866,isolation_0.4_0.1_0.4,abc_mk
0.167297,0.127125,0.282915,1452.83,0.163376,isolation_0.4_0.1_0.4,abc_mk
0.220906,0.102457,0.303402,747.769,0.169501,isolation_0.4_0.1_0.4,abc_mk
0.247673,0.104496,0.329326,1553.26,0.172643,isolation_0.4_0.1_0.4,abc_mk
0.187394,0.10706,0.274061,1501.56,0.159198,isolation_0.4_0.1_0.4,abc_mk
0.193849,0.104325,0.275155,1468.87,0.162396,isolation_0.4_0.1_0.4,abc_mk
0.216711,0.112318,0.302807,1497.72,0.172215,isolation_0.4_0.1_0.4,abc_mk
0.136178,0.120395,0.233226,1457.03,0.15285,isolation_0.4_0.1_0.4,abc_mk
0.199178,0.10842,0.288423,1484.21,0.165401,isolation_0.4_0.1_0.4,abc_mk
0.183594,0.106851,0.275915,1528.92,0.160352,isolation_0.4_0.1_0.4,abc_mk
0.211422,0.104955,0.292545,1520.75,0.162972,isolation_0.4_0.1_0.4,abc_mk
0.142582,0.117457,0.239066,1476.9,0.150212,isolation_0.4_0.1_0.4,abc_mk
0.171411,0.112225,0.267196,1512.08,0.159649,isolation_0.4_0.1_0.4,abc_mk
0.157603,0.121162,0.266491,1487.96,0.160232,isolation_0.4_0.1_0.4,abc_mk
0.20529,0.0989937,0.289368,1500.49,0.161047,isolation_0.4_0.1_0.4,abc_mk
0.16802,0.117087,0.272072,1562.33,0.162625,isolation_0.4_0.1_0.4,abc_mk
0.219738,0.106927,0.309057,1493.36,0.169457,isolation_0.4_0.1_0.4,abc_mk
0.194204,0.11653,0.284655,1473.51,0.163732,isolation_0.4_0.1_0.4,abc_mk
0.099954,0.149694,0.230282,1471.55,0.149485,isolation_0.4_0.1_0.4,abc_mk
0.189777,0.108756,0.287728,1581.16,0.164297,isolation_0.4_0.1_0.4,abc_mk
0.150776,0.107865,0.245219,1522.74,0.150259,isolation_0.4_0.1_0.4,abc_mk
0.171016,0.107764,0.263904,1461.45,0.156319,isolation_0.4_0.1_0.4,abc_mk
0.214367,0.104536,0.301361,1477.84,0.170194,isolation_0.4_0.1_0.4,abc_mk
0.225091,0.107678,0.315147,1485.35,0.170797,isolation_0.4_0.1_0.4,abc_mk
0.178456,0.10667,0.259493,1490.26,0.154799,isolation_0.4_0.1_0.4,abc_mk
0.171486,0.125862,0.276202,1482.31,0.160896,isolation_0.4_0.1_0.4,abc_mk
0.124043,0.128156,0.234279,1541.97,0.148704,isolation_0.4_0.1_0.4,abc_mk
0.190035,0.10779,0.278721,1455.38,0.161997,isolation_0.4_0.1_0.4,abc_mk
0.115066,0.283577,0.391766,611.683,0.168771,isolation_0.4_0.1_0.8,abc_mk
0.129414,0.278066,0.397161,613.126,0.17226,isolation_0.4_0.1_0.8,abc_mk
0.124975,0.287356,0.402903,655.254,0.174348,isolation_0.4_0.1_0.8,abc_mk
0.145497,0.255872,0.396676,586.977,0.169846,isolation_0.4_0.1_0.8,abc_mk
0.151656,0.253358,0.396466,644.424,0.170971,isolation_0.4_0.1_0.8,abc_mk
0.154606,0.25825,0.400509,577.828,0.171033,isolation_0.4_0.1_0.8,abc_mk
0.111182,0.286597,0.383187,625.841,0.163158,isolation_0.4_0.1_0.8,abc_mk
0.111591,0.307677,0.399215,673.123,0.171001,isolation_0.4_0.1_0.8,abc_mk
0.154979,0.255465,0.397136,627.669,0.1698,isolation_0.4_0.1_0.8,abc_mk
0.14715,0.257129,0.392109,617.089,0.169264,isolation_0.4_0.1_0.8,abc_mk
0.172027,0.245261,0.412256,616.389,0.173862,isolation_0.4_0.1_0.8,abc_mk
0.13579,0.268768,0.3916,589.42,0.166965,isolation_0.4_0.1_0.8,abc_mk
0.126907,0.285296,0.392052,621.291,0.167573,isolation_0.4_0.1_0.8,abc_mk
0.107774,0.30424,0.401886,609.014,0.171358,isolation_0.4_0.1_0.8,abc_mk
0.109386,0.283543,0.383975,657.541,0.163447,isolation_0.4_0.1_0.8,abc_mk
0.108772,0.300235,0.396807,621.361,0.170604,isolation_0.4_0.1_0.8,abc_mk
0.108543,0.301905,0.391468,615.05,0.168462,isolation_0.4_0.1_0.8,abc_mk
0.090257,0.311826,0.386973,654.081,0.165036,isolation_0.4_0.1_0.8,abc_mk
0.1686,0.26905,0.422597,638.461,0.179793,isolation_0.4_0.1_0.8,abc_mk
0.118156,0.272746,0.380179,630.565,0.163222,isolation_0.4_0.1_0.8,abc_mk
0.117026,0.28502,0.395172,634.371,0.170927,isolation_0.4_0.1_0.8,abc_mk
0.120253,0.288623,0.398123,601.509,0.169373,isolation_0.4_0.1_0.8,abc_mk
0.169313,0.245305,0.403188,627.763,0.172508,isolation_0.4_0.1_0.8,abc_mk
0.109418,0.290265,0.383877,624.698,0.166061,isolation_0.4_0.1_0.8,abc_mk
0.123341,0.285772,0.398194,594.406,0.171203,isolation_0.4_0.1_0.8,abc_mk
0.100998,0.297404,0.389428,616.165,0.168662,isolation_0.4_0.1_0.8,abc_mk
0.102086,0.300729,0.385866,657.824,0.166181,isolation_0.4_0.1_0.8,abc_mk
0.081091,0.314612,0.384129,663.609,0.164325,isolation_0.4_0.1_0.8,abc_mk
0.119015,0.280418,0.394555,600.312,0.169372,isolation_0.4_0.1_0.8,abc_mk
0.151712,0.258042,0.398861,644.916,0.170074,isolation_0.4_0.1_0.8,abc_mk
0.118527,0.289783,0.394196,634.544,0.169398,isolation_0.4_0.1_0.8,abc_mk
0.125354,0.282878,0.391219,585.058,0.168732,isolation_0.4_0.1_0.8,abc_mk
0.117344,0.288588,0.392263,712.357,0.167251,isolation_0.4_0.1_0.8,abc_mk
0.0761109,0.307426,0.373438,628.173,0.161521,isolation_0.4_0.1_0.8,abc_mk
0.201428,0.225918,0.416354,601.765,0.177276,isolation_0.4_0.1_0.8,abc_mk
0.169068,0.264323,0.415723,635.535,0.179046,isolation_0.4_0.1_0.8,abc_mk
0.133391,0.273969,0.396783,638.227,0.170361,isolation_0.4_0.1_0.8,abc_mk
0.112593,0.288644,0.388103,604.878,0.167855,isolation_0.4_0.1_0.8,abc_mk
0.117173,0.274177,0.386447,578.911,0.164905,isolation_0.4_0.1_0.8,abc_mk
0.0497889,0.320164,0.361876,640.121,0.155225,isolation_0.4_0.1_0.8,abc_mk
0.09527,0.299612,0.383638,624.04,0.168007,isolation_0.4_0.1_0.8,abc_mk
0.137581,0.27207,0.399779,607.475,0.168582,isolation_0.4_0.1_0.8,abc_mk
0.115328,0.294495,0.398772,663.899,0.170732,isolation_0.4_0.1_0.8,abc_mk
0.12149,0.293877,0.398451,609.807,0.171208,isolation_0.4_0.1_0.8,abc_mk
0.168274,0.266181,0.416294,586.303,0.180566,isolation_0.4_0.1_0.8,abc_mk
0.103918,0.300249,0.395633,635.232,0.170644,isolation_0.4_0.1_0.8,abc_mk
0.134477,0.267928,0.388294,575.895,0.168244,isolation_0.4_0.1_0.8,abc_mk
0.129514,0.278187,0.398111,616.287,0.170699,isolation_0.4_0.1_0.8,abc_mk
0.0861919,0.311889,0.385414,629.451,0.166065,isolation_0.4_0.1_0.8,abc_mk
0.157253,0.251886,0.396006,608.933,0.1697,isolation_0.4_0.1_0.8,abc_mk
0.111044,0.283829,0.382056,611.942,0.166986,isolation_0.4_0.1_0.8,abc_mk
0.116696,0.28668,0.395286,656.27,0.170303,isolation_0.4_0.1_0.8,abc_mk
0.0772405,0.307216,0.37764,652.986,0.160728,isolation_0.4_0.1_0.8,abc_mk
0.0916848,0.307984,0.386019,593.342,0.166134,isolation_0.4_0.1_0.8,abc_mk
0.113855,0.282945,0.391993,602.524,0.166625,isolation_0.4_0.1_0.8,abc_mk
0.119718,0.283292,0.389657,635.071,0.166535,isolation_0.4_0.1_0.8,abc_mk
0.121583,0.291826,0.401024,646.512,0.171513,isolation_0.4_0.1_0.8,abc_mk
0.146905,0.269423,0.39561,602.142,0.171774,isolation_0.4_0.1_0.8,abc_mk
0.129649,0.268831,0.383155,620.458,0.165118,isolation_0.4_0.1_0.8,abc_mk
0.141054,0.275473,0.398414,626.034,0.171746,isolation_0.4_0.1_0.8,abc_mk
0.112553,0.297669,0.395653,620.357,0.169932,isolation_0.4_0.1_0.8,abc_mk
0.114574,0.297943,0.400484,642.266,0.172604,isolation_0.4_0.1_0.8,abc_mk
0.17558,0.243575,0.403596,609.505,0.173051,isolation_0.4_0.1_0.8,abc_mk
0.0848423,0.310602,0.384829,627.323,0.164548,isolation_0.4_0.1_0.8,abc_mk
0.123251,0.285093,0.394636,634.055,0.167615,isolation_0.4_0.1_0.8,abc_mk
0.148423,0.265056,0.391894,574.638,0.168546,isolation_0.4_0.1_0.8,abc_mk
0.162989,0.259281,0.408962,608.464,0.175488,isolation_0.4_0.1_0.8,abc_mk
