method	w	b	analysis	aw	as	a
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03313	0.16017	0.1933
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.0332	0.16033	0.19353
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03315	0.16008	0.19323
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03333	0.16074	0.19406
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03318	0.16019	0.19337
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03323	0.16004	0.19328
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03333	0.16049	0.19382
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03327	0.1603	0.19357
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.0332	0.16045	0.19364
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03335	0.16057	0.19392
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03319	0.16019	0.19338
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03321	0.16051	0.19373
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03333	0.16028	0.19361
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03321	0.1601	0.19331
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03328	0.16009	0.19337
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03313	0.16061	0.19374
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03338	0.16019	0.19356
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03316	0.16045	0.19361
SLiM	0.1	0.2	noDemog_0.4_0.1_0.2	0.03313	0.16019	0.19333
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06835	0.10955	0.1779
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.0683	0.1094	0.1777
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06812	0.10928	0.1774
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.10953	0.17799
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10945	0.17781
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06852	0.10927	0.17779
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.10935	0.17781
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06842	0.10914	0.17756
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06842	0.109	0.17742
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06841	0.10928	0.17769
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06842	0.10952	0.17794
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.10937	0.17784
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10931	0.17766
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06831	0.10927	0.17758
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06831	0.10949	0.1778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06848	0.10948	0.17796
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06819	0.10916	0.17735
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.0681	0.10952	0.17762
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.0683	0.1095	0.1778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06822	0.10939	0.1776
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06826	0.10938	0.17764
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06798	0.10948	0.17746
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06838	0.1094	0.17778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06832	0.10951	0.17782
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06851	0.10948	0.17799
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10918	0.17754
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06839	0.10942	0.1778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06856	0.1094	0.17796
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06861	0.10947	0.17808
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06809	0.10951	0.1776
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06881	0.10918	0.17799
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06838	0.10951	0.17789
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06825	0.10982	0.17807
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.10906	0.1775
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06825	0.10939	0.17764
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.10933	0.17777
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06839	0.10922	0.17761
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06825	0.10945	0.17769
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06826	0.10952	0.17778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06829	0.10932	0.17761
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06862	0.10947	0.17809
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.10967	0.17811
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06837	0.10943	0.1778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.10933	0.17778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06841	0.10949	0.1779
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06809	0.10933	0.17742
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06835	0.10941	0.17776
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06838	0.10972	0.1781
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06855	0.10928	0.17783
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.0684	0.1095	0.1779
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06831	0.10951	0.17783
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.10953	0.17799
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06834	0.10953	0.17787
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06843	0.10977	0.17821
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06853	0.10955	0.17809
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06844	0.1092	0.17764
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06852	0.10973	0.17825
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06829	0.10957	0.17785
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06871	0.10952	0.17823
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06828	0.10943	0.17771
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06827	0.10976	0.17804
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06847	0.10901	0.17748
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06815	0.10939	0.17753
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06838	0.1094	0.17778
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06828	0.10936	0.17764
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06836	0.10975	0.17811
SLiM	0.2	0.2	noDemog_0.4_0.2_0.2	0.06846	0.1092	0.17766
