aw	as	a	analysis	b	w	method
0.134022	0.0534753	0.186175	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.109495	0.0553733	0.168578	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0993709	0.0792932	0.17134	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.143661	0.0413939	0.179157	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.083373	0.0786704	0.159008	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.133862	0.049694	0.179905	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0812384	0.0724936	0.162208	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.146991	0.0399281	0.187959	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0711474	0.100699	0.17125	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0725554	0.123276	0.200178	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0944975	0.0903681	0.197273	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.1088	0.0799938	0.183218	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.104411	0.0760615	0.174015	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.160612	0.0241537	0.18386	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0371654	0.120694	0.163064	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.17172	0.0029072	0.183061	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0432639	0.131271	0.175095	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.196504	0.0167218	0.20537	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0954028	0.083448	0.177503	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0748307	0.101825	0.173137	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.14977	0.0561743	0.209021	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.09343	0.0654161	0.158438	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.111086	0.0515631	0.164059	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.124565	0.067858	0.181982	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.124768	0.0581929	0.18474	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0876972	0.101666	0.18526	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0654978	0.102979	0.166455	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.11148	0.0439457	0.154394	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.111845	0.0135881	0.131512	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.157273	0.00566211	0.167479	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.135732	0.0151776	0.165236	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.0831726	0.042288	0.139882	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.124492	0.023088	0.137864	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.14845	0.00359938	0.147434	isolation_0.4_0.3_0.2	0.2	0.3	ABC
0.12934	0.0314278	0.147397	isolation_0.4_0.3_0.2	0.2	0.3	ABC
