aw	as	a	gamNeg	shape	analysis	b	w	method
0.0836447	0.165917	0.237455	391.914	0.156253	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.130054	0.117471	0.237653	428.091	0.150514	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.150692	0.113065	0.258297	792.859	0.164429	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.124267	0.148083	0.257972	354.07	0.162829	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0799967	0.165987	0.241059	789.415	0.156061	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0473841	0.173871	0.208425	801.215	0.144206	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.106672	0.118197	0.217225	356.528	0.144716	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.108005	0.147637	0.237779	581.061	0.156644	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.17551	0.107779	0.270807	379.596	0.15909	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.140327	0.13076	0.251899	782.065	0.160288	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0592093	0.176392	0.230679	722.083	0.152064	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0793146	0.172226	0.231904	750.221	0.152657	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.149401	0.126314	0.261859	761.794	0.16317	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.120777	0.142853	0.26135	789.054	0.161612	isolation_0.4_0.1_0.2	0.2	0.1	ABC
0.0987399	0.136375	0.222818	788.007	0.158666	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.123691	0.0877836	0.216434	806.148	0.155005	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0101068	0.171377	0.175192	742.78	0.146197	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0549054	0.147775	0.19654	747.568	0.1525	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.133746	0.100826	0.219858	820.151	0.155796	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0342818	0.168848	0.204591	304.962	0.155622	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0879768	0.141824	0.215337	670.388	0.156576	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.128863	0.114685	0.220106	330.183	0.158266	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.117187	0.114407	0.214633	674.167	0.153377	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0877507	0.131087	0.21252	379.412	0.154077	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0673522	0.148155	0.207928	389.597	0.156813	isolation_0.4_0.2_0.2	0.2	0.2	ABC
-0.000721432	0.215851	0.205115	378.554	0.154816	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.137439	0.100404	0.233195	710.609	0.158638	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0639272	0.155469	0.20616	766.056	0.152212	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.119103	0.125161	0.234203	375.649	0.161095	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0439055	0.164496	0.203484	394.025	0.153947	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.094079	0.131617	0.214067	742.441	0.155902	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0357567	0.175637	0.204239	608.312	0.154048	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.117823	0.107011	0.21678	349.485	0.152477	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.121095	0.112165	0.232095	773.908	0.159405	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.107336	0.117234	0.209291	418.28	0.152976	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0685194	0.143787	0.202991	760.023	0.149768	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.10043	0.128815	0.218025	361.58	0.158599	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0958092	0.130985	0.216203	745.352	0.157956	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0180874	0.179805	0.189282	720.688	0.147765	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0620121	0.147775	0.197572	323.212	0.149359	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.0785342	0.145244	0.204756	759.711	0.155114	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.142235	0.0801055	0.214369	431.933	0.153875	isolation_0.4_0.2_0.2	0.2	0.2	ABC
0.120858	0.105692	0.221604	402.286	0.154668	isolation_0.4_0.2_0.2	0.2	0.2	ABC
