aw	as	a	gamNeg	shape	analysis	b	w	method
0.15987	0.0375833	0.186549	593.779	0.175594	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.16335	0.0325379	0.201519	484.197	0.180077	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.164231	0.0313522	0.19114	465.662	0.17853	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.120332	0.0739532	0.187793	883.453	0.177225	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0589335	0.108938	0.164762	414.293	0.170594	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.120545	0.0677964	0.177385	462.978	0.171219	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0802206	0.0899312	0.167329	474.791	0.171401	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0816737	0.0810151	0.168132	841.004	0.170788	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.109678	0.0790254	0.183439	446.904	0.178802	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.112425	0.0468232	0.165026	858.916	0.170295	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.143514	0.0441535	0.183957	473.105	0.17564	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.129717	0.0534456	0.186466	734.189	0.177684	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.118679	0.0512358	0.170768	874.353	0.171595	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.140278	0.0571891	0.184032	605.463	0.172869	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.113454	0.0658019	0.181351	452.062	0.176377	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0986798	0.0902707	0.178507	775.424	0.175621	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.127346	0.0500826	0.169711	467.486	0.168926	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0888665	0.0735852	0.160166	652.312	0.168007	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.144295	0.0472916	0.184027	482.47	0.174944	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.123332	0.0589725	0.182298	859.892	0.17753	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.121803	0.0556682	0.178795	592.25	0.170152	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.131683	0.0433754	0.176596	860.897	0.17328	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0598625	0.108517	0.165452	436.776	0.1712	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.101082	0.0709859	0.173397	467.054	0.169879	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0974094	0.0653313	0.167783	435.658	0.172231	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.132625	0.0695723	0.197075	463.504	0.180633	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.12146	0.0473946	0.16994	877.555	0.17027	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.140129	0.0436739	0.178987	879.614	0.177689	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.105788	0.0921687	0.195207	456.957	0.18322	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.148372	0.049554	0.191243	844.308	0.178876	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.113088	0.0579152	0.169637	833.67	0.173452	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0944812	0.0896236	0.18293	867.175	0.175434	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.14458	0.0366765	0.180696	819.574	0.174794	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0963643	0.0578714	0.157924	475.326	0.169171	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0796423	0.0788549	0.154892	432.985	0.168505	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.136046	0.0439968	0.18085	864.31	0.176274	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.174138	0.0292943	0.189978	453.495	0.174518	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.110278	0.070827	0.181714	447.513	0.179334	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.168938	0.0468053	0.201618	805.998	0.181674	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.111755	0.0863734	0.200096	459.284	0.182662	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0933049	0.0646823	0.161934	845.738	0.171278	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0992057	0.0707214	0.172779	433.247	0.173457	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.151781	0.0328997	0.181765	506.726	0.172486	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0846764	0.0976269	0.179214	480.29	0.177288	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.16784	0.0332357	0.196266	684.279	0.179687	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0887586	0.0706631	0.148114	835.904	0.16788	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.151201	0.0637481	0.2052	459.691	0.181776	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0869994	0.0890088	0.173793	845.646	0.168448	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.161403	0.0369216	0.199258	452.323	0.179355	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.134879	0.0469579	0.175557	907.851	0.173124	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.13519	0.0441622	0.175895	870.125	0.171839	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.131753	0.0333819	0.165936	451.474	0.170005	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.153298	0.0200814	0.163186	867.227	0.171085	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.102116	0.0643708	0.167674	831.239	0.171417	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0827045	0.111733	0.190521	628.341	0.18103	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.15752	0.0274976	0.171334	837.005	0.170837	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.126192	0.0458934	0.173437	815.761	0.172317	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.104491	0.0560302	0.166306	478.141	0.170262	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.144802	0.0567903	0.191529	487.345	0.179564	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0915318	0.0788736	0.161604	460.405	0.168675	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.158085	0.0566654	0.215739	836.236	0.185865	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.173335	0.0132866	0.190662	905.627	0.173341	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.0892466	0.0900741	0.175326	438.75	0.175158	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.140289	0.0423929	0.183105	893.724	0.176052	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.109845	0.0501853	0.168587	474.281	0.168176	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.124078	0.0671329	0.187198	485.789	0.17699	noDemog_0.4_0.2_0.2	0.2	0.2	abc
0.140737	0.0480301	0.186276	520.472	0.171986	noDemog_0.4_0.2_0.2	0.2	0.2	abc
