method	w	b	analysis	aw	as	a
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0418786	0.14413	0.172647
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0354949	0.114315	0.147792
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.104052	0.0726036	0.169289
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0550763	0.0951931	0.143793
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.087674	0.0817023	0.163162
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.061584	0.118803	0.177554
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0945268	0.116192	0.190787
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0957759	0.088525	0.163372
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0920087	0.0820512	0.17481
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0648859	0.0906442	0.149657
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0775097	0.0930812	0.159815
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0738013	0.100559	0.177217
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0859777	0.0661969	0.148646
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0780137	0.100828	0.174352
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0875655	0.096217	0.166279
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.089596	0.0812315	0.169076
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.118734	0.0963291	0.182204
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.057859	0.106514	0.151605
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0749223	0.0948299	0.166926
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0579064	0.11831	0.176146
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0858202	0.100652	0.162321
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.104798	0.0671262	0.163214
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0708183	0.0943411	0.158677
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0611361	0.104245	0.159436
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0845674	0.0933134	0.174637
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0765046	0.0976171	0.16172
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0973153	0.0880961	0.16456
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.00877527	0.150922	0.158082
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0938276	0.0840293	0.160116
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0844903	0.0905105	0.173048
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.079508	0.08764	0.164112
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0875946	0.101308	0.188432
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0986522	0.0813764	0.176801
ABC	0.3	0.2	isolation_0.4_0.3_0.2	0.0702818	0.0927618	0.160379
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.198149	0.0689391	0.251397
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.237666	0.0630638	0.291664
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.200143	0.0865974	0.270348
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.160664	0.0929913	0.243417
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.207001	0.0906484	0.274127
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.225805	0.0812382	0.282605
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.139347	0.106218	0.234419
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.206025	0.0758484	0.267346
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.18646	0.0904497	0.256333
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.198746	0.0963095	0.273365
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.249223	0.0868991	0.320138
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.197051	0.0647983	0.245632
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.23145	0.0842449	0.296253
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.187523	0.099046	0.271948
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.208287	0.0790818	0.275846
ABC	0.1	0.4	isolation_0.4_0.1_0.4	0.178298	0.0907983	0.246835
