method	w	b	analysis	aw	as	a	gamNeg	shape
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.113834	0.112454	0.215519	435.73	0.179498
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0804677	0.130207	0.19977	445.967	0.17598
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.109499	0.124908	0.218398	418.159	0.183433
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0949704	0.0993961	0.197191	458.378	0.170941
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.117024	0.137597	0.241903	771.77	0.191611
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0788459	0.113857	0.18729	424.198	0.169297
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0946865	0.125275	0.205573	831.707	0.180521
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.113212	0.105947	0.215142	798.241	0.178399
ABC	0.1	0.2	noDemog_0.4_0.1_0.2	0.0774622	0.12497	0.200688	830.709	0.175906
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.10539	0.0985172	0.19	457.07	0.178502
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0777622	0.118526	0.189214	464.808	0.174195
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.113006	0.104544	0.209509	459.282	0.179982
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0740027	0.102133	0.172333	821.231	0.175539
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0397215	0.131864	0.165201	395.08	0.169978
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0629323	0.114153	0.174249	423.607	0.17539
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0754963	0.104268	0.175467	844.459	0.169605
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0946044	0.102532	0.195568	430.262	0.182925
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.126427	0.102441	0.210324	449.145	0.184055
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.107691	0.10112	0.182822	778.255	0.174738
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0841694	0.113552	0.191034	819.437	0.181721
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.13117	0.0915157	0.206131	780.83	0.183831
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.076828	0.0946158	0.165997	423.065	0.172725
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0970985	0.106827	0.193198	746.653	0.179368
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.131464	0.091341	0.203128	661.347	0.187543
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0854389	0.114292	0.197254	450.718	0.184378
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.046466	0.135703	0.187775	424.515	0.173846
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0839768	0.114844	0.197384	798.936	0.182194
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0900942	0.104039	0.191424	422.878	0.181611
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0462488	0.142949	0.180479	404.838	0.176131
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0939975	0.0894308	0.178361	453.243	0.175341
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0955453	0.103174	0.192674	805.817	0.180315
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.12064	0.0939483	0.203682	440.259	0.181335
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.147657	0.0797313	0.21364	855.976	0.187577
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0789311	0.109779	0.177719	473.117	0.17645
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0931269	0.100962	0.188583	577.447	0.178512
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0985933	0.0890905	0.178709	850.949	0.172186
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0750564	0.111207	0.176684	519.513	0.17495
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.117981	0.0878081	0.199344	493.535	0.176677
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0857825	0.0855009	0.167065	789.643	0.172435
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.109219	0.0870856	0.185206	785.625	0.176178
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0976446	0.10437	0.196839	838.099	0.18234
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.106213	0.105747	0.19524	461.031	0.178689
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.121163	0.0837485	0.206996	465.327	0.184387
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.116177	0.102147	0.195655	841.142	0.178645
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0950803	0.101998	0.196091	459.943	0.180973
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0633172	0.119348	0.179384	754.077	0.176392
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0841473	0.114986	0.190404	482.987	0.176466
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0519992	0.120685	0.172086	824.333	0.172803
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0710857	0.112822	0.181882	792.347	0.175804
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.100343	0.110368	0.190241	434.656	0.180398
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0877603	0.0934402	0.169314	434.813	0.172679
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0970868	0.0899478	0.185036	877.606	0.176067
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.107018	0.085539	0.183448	812.16	0.176578
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0877275	0.0940719	0.177842	780.033	0.172927
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.101573	0.10695	0.201595	845.086	0.179688
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0736003	0.111863	0.189438	485.025	0.179501
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0798313	0.114519	0.187997	452.233	0.179315
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0932344	0.0936987	0.187406	816.18	0.174126
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0890915	0.101749	0.177718	843.109	0.174499
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0761875	0.117947	0.190564	728.496	0.177706
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0824649	0.114805	0.188577	446.992	0.180473
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0985705	0.0994212	0.183792	443.288	0.173432
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.106354	0.0907816	0.190363	452.409	0.179717
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0855955	0.121134	0.182002	459.573	0.176416
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0545772	0.14034	0.186139	405.286	0.175369
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.064664	0.120956	0.17856	444.59	0.17522
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0936413	0.111946	0.204374	448.062	0.182578
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0886287	0.0942781	0.171977	787.509	0.17042
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.104025	0.0917708	0.181708	825.476	0.178855
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0970118	0.122516	0.20436	443.753	0.185653
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.110062	0.0909423	0.200554	464.966	0.182127
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0721075	0.112941	0.180908	765.609	0.178985
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.095697	0.111437	0.199597	488.342	0.180932
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.107962	0.0895395	0.190771	435.315	0.176824
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.081767	0.0867426	0.172583	457.426	0.173286
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.071165	0.0966014	0.164516	813.798	0.173076
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.111361	0.0874739	0.191397	760.12	0.178433
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.115902	0.10109	0.197245	422.344	0.178211
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0780299	0.111772	0.185796	394.055	0.180339
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.133142	0.0964554	0.20959	814.378	0.185876
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0882613	0.141217	0.209934	431.11	0.184814
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0804003	0.0892159	0.173133	461.613	0.173409
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0736043	0.111323	0.17902	808.293	0.176677
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.118085	0.0793071	0.196756	852.712	0.177549
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0807284	0.11952	0.190316	459.755	0.18105
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.132562	0.0878643	0.209837	761.941	0.184088
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0603245	0.106856	0.159949	410.021	0.170603
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.132688	0.104233	0.214994	443.371	0.185176
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0646514	0.123414	0.1883	454.968	0.174494
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.116453	0.0988216	0.208698	831.211	0.182583
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.119442	0.0902239	0.192583	798.679	0.179467
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.13686	0.0816117	0.19223	849.957	0.175226
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.080892	0.0966926	0.16846	426.151	0.170603
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.117841	0.0746007	0.183129	810.188	0.177518
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0867767	0.0981181	0.180225	431.541	0.175438
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.0512255	0.155625	0.199791	544.71	0.183032
ABC	0.2	0.2	noDemog_0.4_0.2_0.2	0.101742	0.0935242	0.190719	428.338	0.176192
