f	alphas	B	alphaW	sfs	analysis	time
0.2727272727272727	0.1718337247965741	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.2828282828282828	0.17311251510328962	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.29292929292929293	0.17491533610696608	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.30303030303030304	0.17575205503263336	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.31313131313131315	0.1771686773729243	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.32323232323232326	0.1793352619566777	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.3333333333333333	0.17970648959211022	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.3434343434343434	0.18212777856595008	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.35353535353535354	0.18482972625360516	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.36363636363636365	0.1869418597481921	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.37373737373737376	0.18596136323983758	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.3838383838383838	0.1854691686792972	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.3939393939393939	0.1876207834416601	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.40404040404040403	0.18696695176853073	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.41414141414141414	0.1864596027213693	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.42424242424242425	0.18909650660137278	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.43434343434343436	0.19169568173443519	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.4444444444444444	0.19542366501479158	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.45454545454545453	0.19607108492249437	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.46464646464646464	0.1953601791784627	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.47474747474747475	0.19713079853362925	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.48484848484848486	0.19827617704368383	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.494949494949495	0.19846098566361492	0.999	0.1	All alleles	Expansion strength = 5.0	1
0.5050505050505051	0.20282532273494058	0.999	0.1	All alleles	Expansion strength = 5.0	1
