f	alphas	B	alphaW	sfs	path	analysis
0.1001001001001001	0.05055918252900815	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1011011011011011	0.051941329173218365	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1021021021021021	0.05093157625260403	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1031031031031031	0.05202966582956925	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1041041041041041	0.05222150285422689	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.10510510510510511	0.05313871448856011	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1061061061061061	0.05572837845182954	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.10710710710710711	0.055124277051516346	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.10810810810810811	0.05481525065934556	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1091091091091091	0.05541814212596474	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11011011011011011	0.055779758880450614	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1111111111111111	0.05598907606949788	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11211211211211211	0.056320172992572415	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11311311311311312	0.05557215496993162	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11411411411411411	0.05488901544515379	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11511511511511512	0.05607602348636864	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11611611611611612	0.057717100842107794	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11711711711711711	0.05764095057355012	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11811811811811812	0.05805027377895333	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.11911911911911911	0.05941231434037186	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12012012012012012	0.060989542843462696	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12112112112112113	0.062181933756292995	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12212212212212212	0.06181588184610143	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12312312312312312	0.06285312054397763	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12412412412412413	0.06293313119269917	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12512512512512514	0.06266927708850245	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12612612612612611	0.06341807866722327	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12712712712712712	0.06400768559909875	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12812812812812813	0.06437479973126059	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.12912912912912913	0.06376946899041225	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13013013013013014	0.06324394371411268	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13113113113113112	0.06379849874606336	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13213213213213212	0.06524481634076129	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13313313313313313	0.0646273419544261	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13413413413413414	0.06478038537251363	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.13513513513513514	0.06661839212813381	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
