f	alphas	B	alphaW	sfs	path
90	0.27379768958159434	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
91	0.2858405049763306	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
92	0.2947510935518638	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
93	0.2855206377949132	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
94	0.29296872958486897	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
95	0.30493236880996333	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
96	0.2758287231494435	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
97	0.2556620069974699	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
98	0.27269997026789505	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
99	0.24737111351105556	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
100	0.25768109825747954	0.8	0.1	All alleles	noDemog_0.4_0.1_0.8
1	-0.2941317431800723	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
2	0.06364447720753785	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
3	0.12421057545949199	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
4	0.15551985823119463	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
5	0.17684766661404772	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
6	0.19504272076614382	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
7	0.2070657402533005	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
8	0.21657186893493396	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
9	0.2252041423334824	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
10	0.23327093744269056	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
11	0.23977318235218015	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
12	0.24516123251838817	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
13	0.24863927010008968	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
14	0.25234917454947703	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
15	0.2563566546494297	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
16	0.2605741852616392	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
17	0.26446359181499846	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
18	0.2678813600169483	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
19	0.2717932417269828	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
20	0.27581179865891703	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
21	0.27978240896364215	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
22	0.28143723644815344	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
23	0.2831914939377933	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
24	0.2867266878744894	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
25	0.2889569181622733	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
26	0.29197850619390164	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
27	0.2938553483606535	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
28	0.2937032204023511	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
29	0.2951758753244226	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
30	0.2968411780597997	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
31	0.29772300365622695	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
32	0.2988686633303449	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
33	0.30012420198276646	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
34	0.3012304539585744	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
35	0.30279723130684544	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
36	0.3031744258109528	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
37	0.3047970908311711	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
38	0.30562456580981245	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
39	0.3073544588555849	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
40	0.3093156824128094	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
41	0.30924432148789793	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
42	0.3086731231570724	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
43	0.3101563104909172	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
44	0.31190652533883645	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
45	0.3125115299095995	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
46	0.3119315689765939	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
47	0.3125823221362005	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
48	0.31295210790704575	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
49	0.314086382471079	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
50	0.31327402230191836	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
51	0.31771285402559124	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
52	0.3153382229730516	0.8	0.2	Neutral + deleterious	noDemog_0.4_0.2_0.8
