f	alphas	B	alphaW	sfs	path	analysis
0.17517517517517517	0.05703488330567896	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17617617617617617	0.057620046111480194	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17717717717717718	0.05740124525766832	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1781781781781782	0.05765513382128651	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.17917917917917917	0.05795273713545779	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18018018018018017	0.05702712209447858	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18118118118118118	0.057342173063560264	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18218218218218218	0.057537496113716946	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1831831831831832	0.059104377108460504	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1841841841841842	0.059248349296676106	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18518518518518517	0.059272500311717935	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.18618618618618618	0.058719359055280584	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1871871871871872	0.05965412070933074	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1881881881881882	0.06064852770364593	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.1891891891891892	0.06138838010888348	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.19019019019019018	0.06178730094376117	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
0.19119119119119118	0.06117466084227141	0.2	0.1	Neutral + deleterious	noDemog_0.4_0.1_0.2	noDemog
