method	w	b	analysis	aw	as	a
ABC	0.1	0.999	twoepochs_s2	0.153825	0.142183	0.282361
ABC	0.1	0.999	twoepochs_s2	0.125547	0.156239	0.263717
ABC	0.1	0.999	twoepochs_s2	0.135461	0.144038	0.270035
ABC	0.1	0.999	twoepochs_s2	0.108807	0.160813	0.263212
ABC	0.1	0.999	twoepochs_s2	0.148413	0.124502	0.269839
ABC	0.1	0.999	twoepochs_s2	0.210885	0.113869	0.309471
ABC	0.1	0.999	twoepochs_s2	0.0991603	0.169948	0.273643
ABC	0.1	0.999	twoepochs_s2	0.106703	0.165479	0.274685
ABC	0.1	0.999	twoepochs_s2	0.0906628	0.159541	0.258069
ABC	0.1	0.999	twoepochs_s2	0.171991	0.134287	0.287429
ABC	0.1	0.999	twoepochs_s2	0.164756	0.145282	0.295776
ABC	0.1	0.999	twoepochs_s2	0.144615	0.14004	0.273696
ABC	0.1	0.999	twoepochs_s2	0.185913	0.12825	0.283273
ABC	0.1	0.999	twoepochs_s2	0.185132	0.135402	0.300531
ABC	0.1	0.999	twoepochs_s2	0.136884	0.153043	0.27133
ABC	0.1	0.999	twoepochs_s2	0.141077	0.14574	0.271103
ABC	0.1	0.999	twoepochs_s2	0.138946	0.142912	0.270486
ABC	0.1	0.999	twoepochs_s2	0.150959	0.14283	0.291963
ABC	0.1	0.999	twoepochs_s2	0.135781	0.134538	0.260907
ABC	0.1	0.999	twoepochs_s2	0.123457	0.174582	0.282443
ABC	0.1	0.999	twoepochs_s2	0.173183	0.116965	0.277194
ABC	0.1	0.999	twoepochs_s2	0.128058	0.154879	0.262023
ABC	0.1	0.999	twoepochs_s2	0.117261	0.146296	0.256253
ABC	0.1	0.999	twoepochs_s3	0.171941	0.168395	0.298631
ABC	0.1	0.999	twoepochs_s3	0.175972	0.142001	0.306965
ABC	0.1	0.999	twoepochs_s3	0.120657	0.16781	0.266164
ABC	0.1	0.999	twoepochs_s3	0.161784	0.142623	0.300608
ABC	0.1	0.999	twoepochs_s3	0.134763	0.179154	0.297793
ABC	0.1	0.999	twoepochs_s3	0.134515	0.173355	0.289523
ABC	0.1	0.999	twoepochs_s3	0.155845	0.147532	0.280885
ABC	0.1	0.999	twoepochs_s3	0.0962177	0.198054	0.27586
ABC	0.1	0.999	twoepochs_s3	0.0768582	0.215704	0.269356
ABC	0.1	0.999	twoepochs_s3	0.0852602	0.190769	0.256243
ABC	0.1	0.999	twoepochs_s3	0.119222	0.166957	0.274283
ABC	0.1	0.999	twoepochs_s3	0.0803093	0.177474	0.250893
ABC	0.1	0.999	twoepochs_s3	0.110852	0.194434	0.29753
ABC	0.1	0.999	twoepochs_s3	0.101124	0.191945	0.282257
ABC	0.1	0.999	twoepochs_s3	0.174838	0.152953	0.311062
ABC	0.1	0.999	twoepochs_s3	0.0488496	0.223044	0.254515
ABC	0.1	0.999	twoepochs_s3	0.118316	0.191086	0.280085
ABC	0.1	0.999	twoepochs_s3	0.170319	0.161223	0.308908
ABC	0.1	0.999	twoepochs_s3	0.0891215	0.185862	0.264841
ABC	0.1	0.999	twoepochs_s3	0.0908309	0.184629	0.25545
ABC	0.1	0.999	twoepochs_s3	0.13254	0.151587	0.255947
ABC	0.1	0.999	twoepochs_s3	0.0813948	0.16333	0.25122
ABC	0.1	0.999	twoepochs_s3	0.0772341	0.197937	0.269382
ABC	0.1	0.999	twoepochs_s3	0.117079	0.171489	0.275933
ABC	0.1	0.999	twoepochs_s3	0.101163	0.176069	0.26983
ABC	0.1	0.999	twoepochs_s3	0.116032	0.178425	0.273033
ABC	0.1	0.999	twoepochs_s3	0.0807853	0.212116	0.279861
ABC	0.1	0.999	twoepochs_s3	0.0615477	0.211853	0.267987
ABC	0.1	0.999	twoepochs_s3	0.125489	0.186646	0.308174
ABC	0.1	0.999	twoepochs_s3	0.113368	0.176505	0.284061
ABC	0.1	0.999	twoepochs_s3	0.122899	0.181429	0.297996
ABC	0.1	0.999	twoepochs_s3	0.163845	0.154783	0.297586
ABC	0.1	0.999	twoepochs_s3	0.106104	0.179575	0.2809
ABC	0.1	0.999	twoepochs_s3	0.0864971	0.185405	0.2538
ABC	0.1	0.999	twoepochs_s3	0.123777	0.180863	0.268301
ABC	0.1	0.999	twoepochs_s3	0.121015	0.167066	0.291554
ABC	0.1	0.999	twoepochs_s3	0.146579	0.156477	0.295328
ABC	0.1	0.999	twoepochs_s3	0.137811	0.158007	0.282296
ABC	0.1	0.999	twoepochs_s3	0.138245	0.153732	0.285611
