f	alphas	B	alphaW	sfs	analysis	time
0.3434343434343434	0.1507968174033163	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.35353535353535354	0.15454768044404388	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.36363636363636365	0.1550714563330876	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.37373737373737376	0.1577881454227742	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.3838383838383838	0.16084778626288476	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.3939393939393939	0.16112558883329575	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.40404040404040403	0.15979764339957636	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.41414141414141414	0.16203494896688309	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.42424242424242425	0.16111004611770363	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.43434343434343436	0.16389996619915337	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.4444444444444444	0.16788910243406407	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.45454545454545453	0.17140302327072643	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.46464646464646464	0.17394600577156083	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.47474747474747475	0.17425440295942518	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.48484848484848486	0.17590872787752876	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.494949494949495	0.17795903659107792	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.5050505050505051	0.17861178659396948	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.5151515151515151	0.17693922694198316	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.5252525252525253	0.17705916464686722	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.5353535353535354	0.18051259402677167	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
0.5454545454545454	0.1820993299461625	0.999	0.1	All alleles	Bottleneck strength = 0.75	1
